Time;Message_ID;From_Node;To_Node;Hop_Count;Remaining_TTL;Msg_Size;Final_Dest
616.00;HAG_MSG3;11;38;3;1439;199056;17
616.00;HAG_MSG3;1;36;3;1439;199056;17
616.00;HAG_MSG3;15;12;2;1439;199056;17
616.00;HAG_MSG3;2;37;3;1439;199056;17
616.00;HAG_MSG3;3;21;3;1439;199056;17
616.00;HAG_MSG3;0;13;3;1439;199056;17
616.00;HAG_MSG3;32;19;2;1439;199056;17
616.00;HAG_MSG3;25;16;2;1439;199056;17
616.00;HAG_MSG3;26;24;4;1439;199056;17
616.00;HAG_MSG3;8;23;4;1439;199056;17
616.00;HAG_MSG3;31;14;2;1439;199056;17
616.00;HAG_MSG3;28;27;1;1439;199056;17
616.00;HAG_MSG3;10;22;2;1439;199056;17
616.00;HAG_MSG3;5;20;4;1439;199056;17
617.00;HAG_MSG3;40;29;4;1439;199056;17
617.00;HAG_MSG3;15;33;2;1439;199056;17
617.00;HAG_MSG3;1;39;3;1439;199056;17
617.00;HAG_MSG3;11;30;3;1439;199056;17
617.00;HAG_MSG3;4;34;5;1439;199056;17
806.00;HAG_MSG4;29;16;1;1439;163714;16
807.00;HAG_MSG4;29;15;1;1439;163714;16
808.00;HAG_MSG4;29;32;1;1439;163714;16
809.00;HAG_MSG4;29;31;1;1439;163714;16
809.00;HAG_MSG4;32;0;2;1439;163714;16
809.00;HAG_MSG4;15;1;2;1439;163714;16
810.00;HAG_MSG4;32;2;2;1439;163714;16
810.00;HAG_MSG4;29;10;1;1439;163714;16
810.00;HAG_MSG4;15;3;2;1439;163714;16
811.00;HAG_MSG4;31;4;2;1439;163714;16
811.00;HAG_MSG4;2;35;3;1439;163714;16
811.00;HAG_MSG4;0;40;3;1439;163714;16
811.00;HAG_MSG4;15;6;2;1439;163714;16
811.00;HAG_MSG4;1;8;3;1439;163714;16
811.00;HAG_MSG4;29;26;1;1439;163714;16
811.00;HAG_MSG4;32;5;2;1439;163714;16
812.00;HAG_MSG4;3;12;3;1439;163714;16
812.00;HAG_MSG4;15;11;2;1439;163714;16
812.00;HAG_MSG4;10;17;2;1439;163714;16
812.00;HAG_MSG4;29;38;1;1439;163714;16
812.00;HAG_MSG4;31;7;2;1439;163714;16
812.00;HAG_MSG4;2;25;3;1439;163714;16
812.00;HAG_MSG4;4;37;3;1439;163714;16
812.00;HAG_MSG4;40;14;4;1439;163714;16
812.00;HAG_MSG4;26;18;2;1439;163714;16
812.00;HAG_MSG4;32;19;2;1439;163714;16
812.00;HAG_MSG4;1;27;3;1439;163714;16
812.00;HAG_MSG4;0;9;3;1439;163714;16
812.00;HAG_MSG4;35;13;4;1439;163714;16
812.00;HAG_MSG4;6;20;3;1439;163714;16
813.00;HAG_MSG4;2;34;3;1439;163714;16
813.00;HAG_MSG4;3;21;3;1439;163714;16
813.00;HAG_MSG4;4;39;3;1439;163714;16
813.00;HAG_MSG4;15;22;2;1439;163714;16
813.00;HAG_MSG4;12;28;4;1439;163714;16
813.00;HAG_MSG4;29;36;1;1439;163714;16
813.00;HAG_MSG4;40;30;4;1439;163714;16
813.00;HAG_MSG4;14;33;5;1439;163714;16
813.00;HAG_MSG4;10;23;2;1439;163714;16
813.00;HAG_MSG4;31;24;2;1439;163714;16
977.00;HAG_MSG5;17;18;1;1439;210022;18
978.00;HAG_MSG5;17;15;1;1439;210022;18
979.00;HAG_MSG5;17;32;1;1439;210022;18
980.00;HAG_MSG5;15;0;2;1439;210022;18
980.00;HAG_MSG5;17;31;1;1439;210022;18
981.00;HAG_MSG5;32;1;2;1439;210022;18
981.00;HAG_MSG5;17;10;1;1439;210022;18
981.00;HAG_MSG5;15;2;2;1439;210022;18
982.00;HAG_MSG5;15;5;2;1439;210022;18
982.00;HAG_MSG5;31;4;2;1439;210022;18
982.00;HAG_MSG5;17;26;1;1439;210022;18
982.00;HAG_MSG5;1;8;3;1439;210022;18
982.00;HAG_MSG5;32;3;2;1439;210022;18
982.00;HAG_MSG5;0;40;3;1439;210022;18
982.00;HAG_MSG5;2;35;3;1439;210022;18
983.00;HAG_MSG5;17;20;1;1439;210022;18
983.00;HAG_MSG5;15;6;2;1439;210022;18
983.00;HAG_MSG5;5;25;3;1439;210022;18
983.00;HAG_MSG5;26;9;2;1439;210022;18
983.00;HAG_MSG5;32;11;2;1439;210022;18
983.00;HAG_MSG5;1;38;3;1439;210022;18
983.00;HAG_MSG5;4;27;3;1439;210022;18
983.00;HAG_MSG5;31;7;2;1439;210022;18
983.00;HAG_MSG5;2;37;3;1439;210022;18
983.00;HAG_MSG5;0;14;3;1439;210022;18
983.00;HAG_MSG5;10;12;2;1439;210022;18
983.00;HAG_MSG5;3;13;3;1439;210022;18
983.00;HAG_MSG5;8;16;4;1439;210022;18
984.00;HAG_MSG5;38;28;4;1439;210022;18
984.00;HAG_MSG5;32;24;2;1439;210022;18
984.00;HAG_MSG5;35;21;4;1439;210022;18
984.00;HAG_MSG5;4;39;3;1439;210022;18
984.00;HAG_MSG5;15;19;2;1439;210022;18
984.00;HAG_MSG5;9;34;3;1439;210022;18
984.00;HAG_MSG5;17;36;1;1439;210022;18
984.00;HAG_MSG5;31;30;2;1439;210022;18
984.00;HAG_MSG5;2;33;3;1439;210022;18
984.00;HAG_MSG5;26;23;2;1439;210022;18
984.00;HAG_MSG5;5;22;3;1439;210022;18
984.00;HAG_MSG5;1;29;3;1439;210022;18
1133.00;HAG_MSG6;31;14;1;1439;475868;14
1135.00;HAG_MSG6;31;15;1;1439;475868;14
1137.00;HAG_MSG6;15;0;2;1439;475868;14
1137.00;HAG_MSG6;31;32;1;1439;475868;14
1139.00;HAG_MSG6;31;2;1;1439;475868;14
1139.00;HAG_MSG6;0;10;3;1439;475868;14
1139.00;HAG_MSG6;15;1;2;1439;475868;14
1140.00;HAG_MSG6;32;3;2;1439;475868;14
1141.00;HAG_MSG6;15;5;2;1439;475868;14
1141.00;HAG_MSG6;0;40;3;1439;475868;14
1141.00;HAG_MSG6;31;4;1;1439;475868;14
1142.00;HAG_MSG6;1;26;3;1439;475868;14
1142.00;HAG_MSG6;10;6;4;1439;475868;14
1142.00;HAG_MSG6;32;7;2;1439;475868;14
1142.00;HAG_MSG6;2;8;2;1439;475868;14
1143.00;HAG_MSG6;3;9;3;1439;475868;14
1143.00;HAG_MSG6;31;13;1;1439;475868;14
1143.00;HAG_MSG6;15;11;2;1439;475868;14
1143.00;HAG_MSG6;0;12;3;1439;475868;14
