message dropped per node: (ID, nrofDrops)
p0; 153
p1; 157
p2; 142
p3; 131
p4; 123
p5; 127
p6; 133
p7; 143
p8; 143
p9; 132
p10; 147
p11; 145
p12; 127
p13; 129
p14; 126
p15; 138
p16; 144
p17; 126
p18; 141
p19; 139
p20; 126
p21; 162
p22; 117
p23; 133
p24; 137
p25; 151
p26; 135
p27; 145
p28; 142
p29; 160
p30; 132
p31; 146
p32; 165
p33; 159
p34; 134
p35; 144
p36; 148
p37; 171
p38; 132
p39; 152
p40; 128
p41; 115
p42; 181
p43; 128
p44; 137
p45; 157
p46; 165
p47; 143
p48; 149
p49; 145
p50; 131
p51; 139
p52; 142
p53; 146
p54; 142
p55; 149
p56; 137
p57; 143
p58; 133
p59; 148
p60; 134
p61; 146
p62; 135
p63; 124
p64; 148
p65; 134
p66; 131
p67; 149
p68; 137
p69; 135
p70; 135
p71; 147
p72; 137
p73; 143
p74; 127
p75; 131
p76; 135
p77; 148
p78; 119
p79; 138
p80; 147
p81; 136
p82; 137
p83; 117
p84; 139
p85; 136
p86; 137
p87; 152
p88; 136
p89; 127
p90; 138
p91; 131
p92; 129
p93; 156
p94; 149
p95; 145
p96; 140
p97; 164
p98; 131
p99; 156
p100; 152
p101; 146
p102; 155
p103; 123
p104; 131
p105; 118
p106; 123
p107; 128
p108; 136
p109; 148
p110; 121
p111; 126
p112; 163
p113; 132
p114; 131
p115; 129
p116; 135
p117; 151
p118; 114
p119; 149
c120; 178
c121; 156
c122; 126
c123; 129
c124; 172
c125; 145
c126; 178
c127; 169
c128; 142
c129; 139
c130; 133
c131; 154
c132; 162
c133; 163
c134; 148
c135; 176
c136; 144
c137; 144
c138; 178
c139; 141
c140; 160
c141; 166
c142; 148
c143; 155
c144; 163
c145; 133
c146; 154
c147; 133
c148; 159
c149; 142
c150; 160
c151; 147
c152; 156
c153; 123
c154; 140
c155; 136
c156; 156
c157; 159
c158; 144
c159; 169
c160; 156
c161; 161
c162; 166
c163; 140
c164; 150
c165; 161
c166; 136
c167; 131
c168; 146
c169; 155
w170; 145
w171; 113
w172; 135
w173; 136
w174; 151
w175; 156
w176; 111
w177; 151
w178; 157
w179; 133
w180; 132
w181; 146
w182; 134
w183; 141
w184; 140
w185; 131
w186; 128
w187; 136
w188; 137
w189; 143
w190; 109
w191; 133
w192; 154
w193; 134
t194; 261
t195; 294
t196; 264
t197; 262
t198; 256
t199; 194

